AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2025,2,110105,ICA,ICA,PACHACUTEC,F,18-29 AÑOS,PERÚ,1
2025,5,50101,AYACUCHO,HUAMANGA,AYACUCHO,M,30-59 AÑOS,PERÚ,1
2025,3,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,M,18-29 AÑOS,VENEZUELA,1
2025,5,80601,CUSCO,CANCHIS,SICUANI,F,30-59 AÑOS,PERÚ,1
2025,3,10522,AMAZONAS,LUYA,TINGO,M,30-59 AÑOS,PERÚ,1
2025,2,170103,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,M,60 A MAS AÑOS,PERÚ,1
2025,3,20606,ÁNCASH,CARHUAZ,MARCARA,F,12-17 AÑOS,PERÚ,1
2025,10,100601,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,F,18-29 AÑOS,PERÚ,2
2025,3,130106,LA LIBERTAD,TRUJILLO,LAREDO,F,12-17 AÑOS,PERÚ,1
2025,4,150103,LIMA METROPOLITANA,LIMA,ATE,F,12-17 AÑOS,PERÚ,13
2025,7,110207,ICA,CHINCHA,PUEBLO NUEVO,F,12-17 AÑOS,PERÚ,1
2025,4,80108,CUSCO,CUSCO,WANCHAQ,M,18-29 AÑOS,PERÚ,1
2025,9,40301,AREQUIPA,CARAVELI,CARAVELI,F,12-17 AÑOS,PERÚ,1
2025,3,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,60 A MAS AÑOS,VENEZUELA,1
2025,8,60401,CAJAMARCA,CHOTA,CHOTA,F,12-17 AÑOS,PERÚ,2
2025,7,40702,AREQUIPA,ISLAY,COCACHACRA,M,0-5 AÑOS,PERÚ,1
2025,3,40520,AREQUIPA,CAYLLOMA,MAJES,M,6-11 AÑOS,PERÚ,1
2025,9,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,M,60 A MAS AÑOS,PERÚ,3
2025,7,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,F,12-17 AÑOS,PERÚ,4
2025,8,100102,HUÁNUCO,HUANUCO,AMARILIS,M,12-17 AÑOS,PERÚ,4
2025,3,150113,LIMA METROPOLITANA,LIMA,JESUS MARIA,F,60 A MAS AÑOS,PERÚ,1
2025,4,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,12-17 AÑOS,PERÚ,1
2025,1,30104,APURIMAC,ABANCAY,CURAHUASI,F,12-17 AÑOS,PERÚ,1
2025,9,140307,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,M,12-17 AÑOS,PERÚ,1
2025,9,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,12-17 AÑOS,PERÚ,6
2025,2,220802,SAN MARTÍN,RIOJA,AWAJUN,F,18-29 AÑOS,PERÚ,1
2025,3,80101,CUSCO,CUSCO,CUSCO,M,6-11 AÑOS,PERÚ,1
