periodo_denuncia,anio_denuncia,fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,CONTRA SIMBOLOS Y VALORES DE LA PATRIA,345,"Actos de menosprecio contra los símbolos, próceres o héroes patrios",1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",130,Injuria,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",131,Calumnia,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",132,Difamación,13,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,"ACAPARAMIENTO, ESPECULACION, ADULTERACION",235,Adulteración,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,DESEMPEÑO DE ACTIVIDADES NO AUTORIZADAS,243-C,Funcionamiento ilegal de juegos de casino y máquinas tragamonedas,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS FINANCIEROS,247,Financiamiento por medio de información fraudulenta,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,252,Fabricación y falsificación de moneda de curso legal,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,254,Tráfico de moneda falsa,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-A,Hurto de ganado,25,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-B,Hurto de uso de ganado,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,190,Apropiación ilícita común,75,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,191,Sustracción de bien propio,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,192,Apropiación irregular,14,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,DAÑOS,205,Daño simple,510,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,DAÑOS,206,Formas agravadas,69,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
ENERO - NOVIEMBRE,2025,10/12/2025,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,DAÑOS,206-A,Abandono y actos de crueldad contra animales domésticos y silvestres,20,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17/12/2025
